Year,Area,CancerType,AgeAdjustedRate,lci,uci,DeathCount,Population
2005,Alaska,Lung and Bronchus,51.6,44.5,59.5,216,666946
2005,Connecticut,Lung and Bronchus,46.8,44.7,49,1830,3506956
2005,District of Columbia,Lung and Bronchus,51.9,46.1,58.3,289,567136
2005,Louisiana,Lung and Bronchus,65.8,63.4,68.3,2847,4411396
2005,Maine,Lung and Bronchus,60,56.2,64,946,1318787
2005,Maryland,Lung and Bronchus,55.1,53.1,57.2,2989,5592379
2005,Michigan,Lung and Bronchus,55.7,54.3,57.2,5795,10051137
2005,Mississippi,Lung and Bronchus,65.1,62.2,68.1,1887,2876229
2005,Missouri,Lung and Bronchus,62.1,60.2,64.1,3887,5790300
2005,Nevada,Lung and Bronchus,58.1,54.9,61.4,1290,2432143
2005,New Hampshire,Lung and Bronchus,54.5,50.6,58.6,733,1298492
2005,North Carolina,Lung and Bronchus,59.6,58,61.3,5258,8705407
2005,Georgia,Lung and Bronchus,57.8,56.1,59.6,4366,8925922
2005,Indiana,Lung and Bronchus,62.9,61,64.9,4021,6278616
2005,Iowa,Lung and Bronchus,53.8,51.4,56.4,1853,2964454
2005,Kansas,Lung and Bronchus,57,54.3,59.8,1642,2745299
2005,Kentucky,Lung and Bronchus,77.3,74.7,79.9,3390,4182742
2005,Ohio,Lung and Bronchus,59.3,58,60.7,7388,11463320
2005,Oklahoma,Lung and Bronchus,62.5,60,65.1,2375,3548597
2005,Oregon,Lung and Bronchus,54.3,52,56.7,2105,3613202
2005,Pennsylvania,Lung and Bronchus,54.1,53,55.3,8155,12449990
2005,South Carolina,Lung and Bronchus,61.1,58.8,63.5,2712,4270150
2005,South Dakota,Lung and Bronchus,53.4,48.6,58.5,469,775493
2005,Tennessee,Lung and Bronchus,69.8,67.7,71.9,4370,5991057
2005,Virginia,Lung and Bronchus,57,55.2,58.7,4151,7577105
2005,West Virginia,Lung and Bronchus,66.1,62.8,69.6,1494,1820492
2005,Alabama,Lung and Bronchus,64.1,61.9,66.4,3146,4565917
2005,Arkansas,Lung and Bronchus,70.3,67.4,73.4,2176,2781097
2005,Delaware,Lung and Bronchus,62.3,57.3,67.7,568,845150
2006,Utah,Lung and Bronchus,24,21.8,26.3,445,2525507
2006,New Mexico,Lung and Bronchus,34.8,32.2,37.5,694,1962137
2006,Colorado,Lung and Bronchus,38.2,36.3,40.2,1558,4720423
2006,Hawaii,Lung and Bronchus,38.9,35.7,42.2,565,1309731
2006,Wyoming,Lung and Bronchus,44.6,39,50.7,234,522667
2006,Arizona,Lung and Bronchus,43.7,42.1,45.4,2741,6029141
2006,New York,Lung and Bronchus,44.8,43.8,45.7,9176,19104631
2006,Minnesota,Lung and Bronchus,44.9,43.1,46.8,2353,5163555
2006,California,Lung and Bronchus,40.9,40.2,41.6,13199,36021202
2006,Idaho,Lung and Bronchus,41.9,38.6,45.5,589,1468669
2006,Wisconsin,Lung and Bronchus,47.8,46,49.6,2852,5577655
2006,Texas,Lung and Bronchus,49.5,48.5,50.5,9723,23359580
2006,Vermont,Lung and Bronchus,50.1,44.9,55.8,348,622892
2006,Washington,Lung and Bronchus,49.8,48,51.6,3083,6370753
2006,Pennsylvania,Lung and Bronchus,52.4,51.3,53.6,7960,12510809
2006,Rhode Island,Lung and Bronchus,49.4,45.5,53.6,601,1063096
2006,South Dakota,Lung and Bronchus,48.8,44.3,53.6,437,783033
2006,Massachusetts,Lung and Bronchus,52.9,51.2,54.6,3722,6410084
2006,Maryland,Lung and Bronchus,53,51.1,55,2902,5627367
2006,North Dakota,Lung and Bronchus,47.4,42.5,52.6,353,649422
2006,New Hampshire,Lung and Bronchus,51.9,48.1,55.9,709,1308389
2006,New Jersey,Lung and Bronchus,47.3,45.9,48.7,4403,8661679
2006,Montana,Lung and Bronchus,47.8,43.7,52.1,521,952692
2006,Nebraska,Lung and Bronchus,47.5,44.4,50.7,904,1772693
